Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.429543692,1.748699461,0.238471463,0.052708541,3.66796435,1.381468324,1.701346076,1.000638145,1.40308625,1.557772984,0.83669069,0.730141031,0.571311908,0.593229384,0.341201727,0.33999132,0.254467783,0.084826907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,1.43E-05,0.000108354,5.22E-05,0.002038383,0.005850861,0.003608062,0.008798383,0,0,0,0,0,0.015715476,0.007982592,0.010686363,0.007169484,0.01175231,0.010371793,0.004208595,0.003076168,0.001900252,0.001266818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.067930874,0.059955174,0.053047329,0.065034302,0.091583746,0.139919069,0.044826149,0.053988824,0.045616656,0.082561793,0.098165496,0.025125321,0.024488548,0.007017663,0.011286393,0.009995012,0.019077761,0.005241717,0.002028634,0.010849687,0.046342415,0.01682041,0.017830689,0.014369192,0.028338183,0.03816278,0.039417315,0.032074242,0.036510078,0.020229482,0.030069351,0.040462801,0.036654687,0.029516939,0.023463377,0.010048732,
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,17.09691878,10.9803678,8.411360478,8.035349164,7.549004049,7.857789822,3.833048936,5.190702333,3.803290362,5.520458877,6.935419937,3.592594067,3.568612002,3.350844932,2.771126249,2.900715066,3.536212898,3.013983256,1.698560203,2.288232669,3.043155103,2.451324432,2.451022578,2.854410399,2.927045277,3.624678904,3.680154638,3.476383985,3.813187318,2.418414829,2.970934539,4.547381952,4.778027402,4.52106871,4.474589034,2.558748311,
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.352905787,0.485289093,0.582756577,0.59325406,0.60189315,0.708108749,0.864487981,0.709128769,0.138589048,0.743370085,1.710558936,1.305000945,1.167679441,1.139260711,1.192493535,1.33719604,1.325191133,1.132535658,1.1565289,0.705852321,0.954382573,1.336509605,1.004111487,0.687526579,0.506963154,0.255508728,
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343355951,2.763611046,3.521654517,4.592291197,2.937804773,4.864399458,6.31437514,3.577712393,2.358796322,1.440510978,0.342434703,
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0.001733702,0.002001591,0.020381665,4.319720356,3.278505132,3.37425012,2.153288903,1.70456508,4.220419683,4.777921371,2.650074649,1.64477864,2.385778261,1.849811394,1.977798342,0.806911051,1.502570091,0.987156276,1.740677156,2.586291142,1.272718408,1.28884383,1.296968766,1.31830273,1.474577197,2.011196372,1.488105427,0.682877502,1.276460445,2.473269644,2.030732822,2.303901294,2.969859997,4.362757068,6.735585216,6.339121469,5.684729229,5.884338165,2.309724634,3.221047672,4.358260707,4.289377478,4.10108749,3.620092112,1.194179221,
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,4.43E-05,0.000170362,0.000154037,0.001094383,0.315022521,0.253727294,0.232306873,0.17095248,0.147601089,0.461438237,0.637150703,0.546203809,0.355117149,0.86782897,1.120649382,1.213985087,0.357975878,0.619466126,0.36833666,0.530192505,0.764645236,0.293456427,0.497450539,0.448794196,0.334826211,0.280995144,0.396648202,0.34451888,0.173303739,0.598881211,1.249014853,1.067881952,1.437641929,1.630825388,1.829698676,2.328277937,2.321875782,1.901374965,2.244021242,1.153692281,1.379761089,1.895722537,1.888128195,1.738991107,1.739253428,0.857935348,
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.643468327,1.222648588,0.334652106,0.438082088,0.754020981,0.6966661,0.214266815,0.256937257,0.156313057,0.210733786,0.350410341,0.170443124,0.221123955,0.188737918,0.161108364,0.183897036,0.179787019,0.141060069,0.088437078,0.213641091,0.325974637,0.188440341,0.158340149,0.1853912,0.235193905,0.331860299,0.357525102,0.369402242,0.485542594,0.163446776,0.328010299,0.513536284,0.336446829,0.213727412,0.130733683,0.029827194,
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,6.896481851,14.8144467,25.82214804,49.91463779,43.20288054,44.06854505,43.04066109,41.69782882,80.76402201,47.14475142,29.28795059,17.62166231,25.37513598,26.03796563,30.32654161,20.88250397,25.36277678,18.72721961,23.40530562,27.85624544,15.63395337,17.37314665,16.08595617,14.72398705,13.5871373,14.63759407,12.35778128,8.047081947,14.06459223,23.59207549,18.21859565,18.73671717,19.8829614,21.77243284,29.37020874,28.87543833,24.16979507,28.37269021,15.62952686,19.83647061,21.34114293,19.3456645,15.17065028,13.16240442,5.793704354,
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.574964201,0.61455646,0.663818251,0.850488301,2.346566231,2.131912759,1.856325347,2.066240115,1.931393839,4.206334564,4.869640887,3.267275366,2.106474259,2.438763885,2.521255469,2.560019195,1.217554677,1.566748735,1.051245764,1.302258585,1.683490149,1.122109223,1.202465356,1.113324565,1.015375095,1.125998929,1.400640395,0.964579197,0.381037592,0.842119876,1.574950004,0.972965937,1.025641334,1.088964939,1.424716457,1.605701048,1.648553037,1.564331736,2.59229288,1.3029914,1.586367608,1.897492308,1.397142596,1.620172672,1.404343931,0.22310902,
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.067930874,0.059955174,0.053047329,0.065034302,0.091583746,0.139919069,0.044826149,0.954437875,0.741942788,1.144454751,0.498351097,0.219048801,0.206628697,0.191899497,0.155451349,0.141744535,0.177261468,0.138312561,0.025948977,0.110363677,0.258340208,0.177130719,0.166677539,0.162803147,0.180327312,0.221879445,0.21645363,0.167884837,0.190750043,0.114957269,0.155649988,0.205982652,0.205459731,0.191830812,0.16107596,0.076321495,
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Channel Islands,CHI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,4.23E-05,0.000151423,0.000154282,0.001026936,0.397099002,0.83693094,0.714103994,0.464281131,0.398426062,1.004428105,0.969136858,0.839184302,0.683202857,1.055666953,1.007338168,1.08123613,0.295764553,0.464025831,0.212357583,0.282984065,0.328007512,0.129236254,0.103666865,0.086175151,0.057904535,0.043059313,0.04708945,0.02884559,0.013847536,0.03163172,0.053349527,0.039583635,0.038572558,0.038745328,0.041064948,0.03653347,0.021351234,0.014887674,0.021339485,0.013914691,0.03443501,0.050374514,0.060775656,0.066102111,0.057309628,0.01707993,
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0.084600836,0.180088937,0.386291108,2.548151698,2.704142125,3.539642617,3.777106851,5.04023922,10.96990264,11.57434551,8.271294202,4.555013747,5.468210441,5.530153364,5.16962425,2.607966595,4.459019115,2.97187376,3.906024777,5.273566071,2.811672345,2.815474736,2.650084547,1.886621629,1.629324023,1.79689291,1.449435266,0.689143852,1.096226763,2.004974255,1.301305969,1.249449737,1.311419202,1.585814197,2.166480261,2.153863717,1.710825085,1.909117547,0.810047753,1.184837148,1.449367684,1.223484181,0.986868873,0.798157839,0.252830544,
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.147096347,0.66348,0.955650969,1.693364135,1.622237757,1.702590255,0.521085755,0.668838642,0.346932175,0.117465269,0.12475976,0.048177615,0.238781146,0.247174493,0.295728328,0.244060796,0.657910698,0.537928457,0.16845682,0.30579142,0.500788219,0.286831267,0.628163436,0.784853706,1.382545112,3.204995586,5.586800143,4.295464196,4.785385675,2.161462816,2.868072683,3.748460253,2.995181103,2.012821209,1.139715448,0.383582423,
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0.086975724,1.079029538,5.455374282,8.401878808,7.724443315,5.465560227,6.464130745,9.761407921,13.18643067,4.23258885,6.043331188,4.494114096,8.382597956,10.85352629,5.301161896,5.721947695,4.026076277,4.366666424,4.55558939,5.481397831,5.406841563,2.543092421,3.792129749,9.505531694,4.960457146,3.952330581,3.41443689,5.006034456,6.667087938,7.730108798,7.54822585,8.995877649,3.723055893,5.079963724,6.522812192,6.8578559,5.743102026,4.779802504,1.351570183,
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,0.008428764,0.461040862,0.68309711,0.572464175,1.241213254,1.433410129,1.182097067,0.820200844,1.290353321,2.310012957,2.76982703,1.0193341,1.738457135,1.123296462,1.646472015,2.314850554,1.577815322,1.364558654,0.914376729,1.852842267,2.035800643,2.556494684,2.014232704,0.854604818,2.001368052,0.972224466,1.777861863,1.390166283,1.484227233,2.19352926,2.544420469,2.547041912,2.497242089,2.792964635,1.410353107,1.899096798,2.537247896,2.034736631,1.536964396,1.011487424,0.255292811,
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0.261194306,3.693689925,26.61624138,14.5451336,18.74834205,18.24435517,20.90244916,42.88562162,38.67670916,29.19168629,20.10293598,27.997938,29.28175084,30.94257101,15.82753301,22.78119728,21.07538173,35.79492254,41.35411871,24.25368035,26.06885638,40.79191895,36.48650229,33.19181011,39.7919874,42.4289202,24.94224699,42.43767655,58.95834909,44.86270628,38.98467444,33.96076274,41.28152067,52.5848713,55.54324847,47.68939786,50.44380211,32.35425876,46.34510036,57.40152398,54.51960417,42.1682908,36.1982125,18.14767006,
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.000352442,0.00135658,0.001222337,0.009099738,2.54268919,2.170685677,2.006093048,1.312375369,1.03075672,2.768993714,3.066064047,2.48072923,1.41591215,2.101859013,2.218351492,2.504380252,1.451074183,3.439262342,2.100188105,3.874428406,6.101958274,2.925561877,2.824991159,2.48565585,1.558898987,2.013265402,2.769002083,2.212069013,1.155561444,3.084571234,4.544427206,2.84387595,2.962855889,3.471132814,3.72979223,4.551890962,4.856801827,3.874219908,5.046946706,2.81864224,4.048810622,6.413515903,5.752497839,5.434167322,4.94772341,2.1813686,
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,0.002472106,0.025481442,7.632272569,7.189167157,7.983259533,6.493539706,6.60664193,18.4842919,17.18672989,11.2500272,4.903782503,6.168149066,7.057617045,7.542559427,2.901372472,4.722583389,3.023540075,5.185121513,7.265985752,3.525001948,,,,3.144468742,3.801513,,,,,,,3.538409286,3.908975721,5.867652678,6.180251463,4.902891222,5.498796669,3.059230707,3.87421746,5.310055913,4.435821704,4.080612516,3.668279523,1.263299631,
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,1.51E-05,1.31E-05,0.00012447,0.048590144,0.056065546,0.063887504,0.059639342,0.05271628,0.162943516,0.200054324,0.153215068,0.175641094,0.315850476,0.286667122,0.331457587,0.114785073,0.201985119,0.10108586,0.177976019,0.231885686,0.108781183,0.223356426,0.267379753,0.225719418,0.27211022,0.44752759,0.368288792,0.176865891,0.433645177,1.030235049,0.743804872,0.957888358,1.099732611,1.24033831,1.542288638,1.446530382,1.327072564,1.824811251,0.764227937,1.228805823,1.813301316,1.627525256,1.406673839,1.277628172,0.396421739,
Curacao,CUW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013003593,0.011445357,0.012114614,0.013547425,0.012286272,0.01248505,0.016073337,0.014716551,0.003151682,0.014057178,0.033208549,0.023563215,0.030072058,0.035641012,0.039310951,0.053640284,0.047345229,0.038165351,0.041547311,0.022933556,0.026249262,0.034118504,0.033789218,0.030509293,0.026442818,0.010378511,
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.000546473,0.000851385,0.000758406,0.000842926,0.040862248,0.034474668,0.039351206,0.038315578,0.030209983,0.065458453,0.075163692,0.073397487,0.052023489,0.0567047,0.057336739,0.05572234,0.015351448,0.018560593,0.013653999,0.020975012,0.021671384,0.008966217,0.007860948,0.007313025,0.006055063,0.005748151,0.008105622,0.007031227,0.001528496,0.00620537,0.018940552,0.014578601,0.015646643,0.016441201,0.018774587,0.028270158,0.031245297,0.028621601,0.03254245,0.017211107,0.022460859,0.032954098,0.032978285,0.029141762,0.022995744,0.010837436,
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0.000102757,0.000110253,0.007548032,0.010607021,0.015900526,0.04236886,0.031089092,0.073524842,0.063879064,0.159509224,0.26170127,0.372711668,0.39831622,0.453783443,0.161703208,0.268012951,0.195899466,0.374863322,0.454600768,0.246256542,0.258163567,0.284962951,0.265454891,0.25235178,0.380922034,0.357301824,0.075482577,0.404078546,1.263491284,0.889007164,0.941594867,0.928758612,1.171208565,1.63174708,1.650687333,1.391131918,1.60386537,0.853641993,1.165700485,1.499122937,1.37024107,1.048405099,0.845540959,0.383158562,
Dominican Republic,DOM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.044023919,0.032200788,0.062259355,0.172652121,17.39715451,13.96016841,15.52537547,16.01410417,13.8689296,30.10536078,26.20660334,16.56552037,12.77180257,11.55147752,10.7831309,9.781130406,3.538442843,5.570220701,4.773624744,8.339206091,11.16337884,9.036099281,7.608035147,6.695492992,7.091847476,8.073823518,10.87145466,9.358160814,4.974811813,7.548896126,12.89652779,11.20562605,11.78842653,14.20068109,16.24454436,21.35086755,22.98126193,21.67217864,23.20675508,15.27411995,17.65349925,20.35409525,18.77064063,17.36023569,15.70887184,9.129884212,
East Asia & Pacific (excluding high income),EAP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0.146021456,0.320641183,0.679938549,3.763455405,3.624818604,4.517407175,4.831043048,5.399241114,12.11731505,11.79864902,8.257058569,4.267548198,5.539769125,5.930940503,5.402397751,2.702017261,4.145920158,2.825362254,3.929419614,5.244184513,2.799369392,2.785664174,2.510019855,1.910957299,1.724409116,1.916899275,1.644437292,0.91654855,1.40429324,2.505886074,1.678453722,1.575059117,1.63016129,1.976031546,2.670717638,2.593051084,2.071589689,2.354900665,1.021357622,1.425556157,1.731328517,1.475407562,1.195554606,0.979493753,0.316274798,
Early-demographic dividend,EAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.020468538,0.052344304,0.103765622,0.234777907,8.518920922,6.939036066,8.334839139,8.553886007,7.575766094,17.5337905,16.06340499,11.51729166,7.799703483,8.091894071,7.842264865,6.829224175,2.973644058,4.665687171,3.561329303,5.722279645,8.404408778,4.367739045,4.248057013,4.301484726,3.769660869,4.218516964,5.185829444,4.332968086,2.342701183,3.678338711,6.520356589,4.981665451,5.183425066,5.978037478,7.131456817,9.360351116,9.558526896,8.402557244,10.15189667,5.398225811,6.515593542,8.199940599,7.373975696,6.756337468,5.726524739,2.349637958,
East Asia & Pacific,EAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0.053182335,0.106568168,0.217169379,1.143236588,1.121874029,1.275162696,1.316097018,1.116937678,2.679491635,2.766749723,1.847368102,1.030790633,1.310154766,1.428061095,1.401716258,0.532194813,0.688163821,0.431442685,0.61238118,0.845374991,0.435432652,0.441845298,0.387082034,0.313034339,0.307558176,0.404768368,0.377338385,0.215896772,0.32083724,0.601733317,0.463876969,0.479241414,0.507402418,0.625980785,0.91095009,0.997698234,0.90907606,1.125115061,0.512755542,0.742605776,0.947867326,0.836543663,0.731612027,0.623658747,0.210365962,
